"","U01","cohort","dames","sires","labanimalid","accessid","sex","rfid","dob","dow","shipmentdate","litternumber","littersize","coatcolor","earpunch","rack","shipmentbox","shipmentage","weanage","comment","resolution"
"13","Kalivas_Italy","01","73325_2","73342_2","IT022","73788_1","M","933000320046237",2018-12-27,2019-01-17,2019-02-04 00:00:00,5,11,"BLACK HOOD","RB","D-A6","2",39,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"14","Kalivas_Italy","01","73504_4","73505_1","IT026","73783_3","M","933000320046228",2018-12-27,2019-01-17,2019-02-04 00:00:00,1,10,"BROWN HOOD","RT","D-A7","2",39,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"15","Kalivas_Italy","01","73174_2","73188_1","IT029","73790_1","M","933000320046250",2018-12-27,2019-01-17,2019-02-04 00:00:00,2,11,"BLACK HOOD","LM","D-A8","2",39,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"16","Kalivas_Italy","01","73398_1","73151_1","IT030","73782_3","M","933000320046231",2018-12-27,2019-01-17,2019-02-04 00:00:00,1,8,"BROWN HOOD","RM","D-A8","2",39,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"17","Kalivas_Italy","01","73398_1","73151_1","IT033","73876_1","M","933000320045623",2018-12-27,2019-01-17,2019-02-04 00:00:00,2,12,"BLACK HOOD","LB","D-B1","3",39,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"18","Kalivas_Italy","01","72807_2","72935_1","IT034","73789_1","M","933000320045625",2018-12-28,2019-01-18,2019-02-04 00:00:00,6,10,"BROWN","RT","D-B1","3",38,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"19","Kalivas_Italy","01","73020_2","72789_1","IT037","73787_1","M","933000320045620",2018-12-28,2019-01-18,2019-02-04 00:00:00,7,10,"ALBINO","LC","D-B2","3",38,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"20","Kalivas_Italy","01","73319_1","73317_1","IT038","73786_1","M","933000320045619",2018-12-28,2019-01-18,2019-02-04 00:00:00,5,11,"BLACK HOOD","LTRT","D-B2","3",38,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"21","Kalivas_Italy","01","73171_2","73182_1","IT003","73769_2","F","933000320046151",2018-12-24,2019-01-14,2019-02-04 00:00:00,1,8,"BROWN","LT","D-C4","4",42,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"22","Kalivas_Italy","01","73190_2","73425_2","IT004","73768_4","F","933000320046169",2018-12-24,2019-01-14,2019-02-04 00:00:00,1,9,"ALBINO","RT","D-C4","4",42,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"23","Kalivas_Italy","01","73412_1","73169_1","IT007","73767_4","F","933000320046161",2018-12-24,2019-01-14,2019-02-04 00:00:00,1,9,"BLACK","LT","D-C3","4",42,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"24","Kalivas_Italy","01","72778_4","72782_3","IT008","73777_2","F","933000320046166",2018-12-25,2019-01-15,2019-02-04 00:00:00,1,13,"BLACK HOOD","RM","D-C3","4",41,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"25","Kalivas_Italy","01","72802_2","72784_1","IT011","73775_2","F","933000320046175",2018-12-25,2019-01-15,2019-02-04 00:00:00,7,14,"BROWN HOOD","LT","D-C2","5",41,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"26","Kalivas_Italy","01","72792_2","72778_3","IT012","73773_2","F","933000320046173",2018-12-25,2019-01-15,2019-02-04 00:00:00,7,13,"BLACK HOOD","LBRM","D-C2","5",41,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"27","Kalivas_Italy","01","72790_2","72805_1","IT015","73774_2","F","933000320045974",2018-12-26,2019-01-16,2019-02-04 00:00:00,8,9,"BROWN HOOD","LM","D-C1","5",40,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"28","Kalivas_Italy","01","73169_2","73398_2","IT016","73781_2","F","933000320045959",2018-12-26,2019-01-16,2019-02-04 00:00:00,2,14,"BROWN","RT","D-C1","5",40,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"29","Kalivas_Italy","01","73192_2","73167_1","IT019","73780_2","F","933000320045963",2018-12-26,2019-01-16,2019-02-04 00:00:00,2,13,"ALBINO","LT","D-B8","5",40,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"30","Kalivas_Italy","01","73165_2","73168_1","IT020","73778_2","F","933000320045966",2018-12-26,2019-01-16,2019-02-04 00:00:00,2,6,"BLACK HOOD","RB","D-B8","5",40,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"31","Kalivas_Italy","01","73425_1","73194_1","IT023","73785_4","F","933000320046230",2018-12-26,2019-01-16,2019-02-04 00:00:00,1,14,"BLACK","LM","D-B7","5",40,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"32","Kalivas_Italy","01","72785_2","72787_1","IT027","73779_2","F","933000320046232",2018-12-27,2019-01-17,2019-02-04 00:00:00,7,10,"BLACK","LB","D-B6","6",39,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"33","Kalivas_Italy","01","73325_2","73342_2","IT024","73788_2","F","933000320046241",2018-12-27,2019-01-17,2019-02-04 00:00:00,5,11,"BROWN HOOD","RT","D-B7","5",39,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"34","Kalivas_Italy","01","73504_4","73505_1","IT028","73783_4","F","933000320046226",2018-12-27,2019-01-17,2019-02-04 00:00:00,1,10,"BROWN HOOD","RM","D-B6","6",39,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"35","Kalivas_Italy","01","73174_2","73188_1","IT031","73790_2","F","933000320046236",2018-12-27,2019-01-17,2019-02-04 00:00:00,2,11,"BLACK","LC","D-B5","6",39,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"36","Kalivas_Italy","01","73398_1","73151_1","IT032","73782_4","F","933000320046249",2018-12-27,2019-01-17,2019-02-04 00:00:00,1,8,"BROWN","RM","D-B5","6",39,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"37","Kalivas_Italy","01","73398_1","73151_1","IT035","73876_2","F","933000320045624",2018-12-27,2019-01-17,2019-02-04 00:00:00,2,12,"BROWN","LM","D-B4","6",39,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"38","Kalivas_Italy","01","72807_2","72935_1","IT036","73789_2","F","933000320045601",2018-12-28,2019-01-18,2019-02-04 00:00:00,6,10,"BROWN HOOD","RB","D-B4","6",38,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"39","Kalivas_Italy","01","73020_2","72789_1","IT039","73787_2","F","933000320045604",2018-12-28,2019-01-18,2019-02-04 00:00:00,7,10,"ALBINO","LM","D-B3","6",38,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"40","Kalivas_Italy","01","73319_1","73317_1","IT040","73786_2","F","933000320045605",2018-12-28,2019-01-18,2019-02-04 00:00:00,5,11,"BROWN HOOD","LTRT","D-B3","6",38,21,"Original shipment date 2019-01-29 (held 1 week due to heat)",NA
"41","Kalivas_Italy","02","73411_1","73198_1","IT041","74130_1","M","933000320046655",2019-03-25,2019-04-15,2019-05-06 00:00:00,5,12,"BROWN HOOD","LT","D-F1","1",42,21,NA,NA
"42","Kalivas_Italy","02","73734_3","73741_1","IT042","74122_3","M","933000320046657",2019-03-25,2019-04-15,2019-05-06 00:00:00,1,9,"BLACK","RM","D-F1","1",42,21,NA,NA
"43","Kalivas_Italy","02","73411_1","73198_1","IT043","74130_2","F","933000320046668",2019-03-25,2019-04-15,2019-05-06 00:00:00,5,12,"BLACK HOOD","LM","D-G3","4",42,21,NA,NA
"44","Kalivas_Italy","02","73734_3","73741_1","IT044","74122_4","F","933000320046652",2019-03-25,2019-04-15,2019-05-06 00:00:00,1,9,"BLACK","RT","D-G3","4",42,21,NA,NA
"45","Kalivas_Italy","02","73697_2","73701_1","IT045","74116_3","M","933000320046670",2019-03-25,2019-04-15,2019-05-06 00:00:00,1,9,"BROWN","LT","D-F2","1",42,21,NA,NA
"46","Kalivas_Italy","02","73701_2","73690_1","IT046","74121_3","M","933000320046664",2019-03-25,2019-04-15,2019-05-06 00:00:00,1,14,"BLACK","RB","D-F2","1",42,21,NA,NA
"47","Kalivas_Italy","02","73697_2","73701_1","IT047","74116_4","F","933000320046671",2019-03-25,2019-04-15,2019-05-06 00:00:00,1,9,"BLACK","LT","D-G4","4",42,21,NA,NA
"48","Kalivas_Italy","02","73701_2","73690_1","IT048","74121_4","F","933000320046656",2019-03-25,2019-04-15,2019-05-06 00:00:00,1,14,"BROWN","RM","D-G4","4",42,21,NA,NA
"49","Kalivas_Italy","02","73224_2","73223_1","IT049","74124_1","M","933000320046654",2019-03-26,2019-04-16,2019-05-06 00:00:00,5,13,"BROWN","LM","D-F3","1",41,21,NA,NA
"50","Kalivas_Italy","02","73744_2","73734_2","IT050","74127_3","M","933000320046663",2019-03-26,2019-04-16,2019-05-06 00:00:00,1,11,"BLACK","RT","D-F3","1",41,21,NA,NA
"51","Kalivas_Italy","02","73224_2","73223_1","IT051","74124_2","F","933000320046672",2019-03-26,2019-04-16,2019-05-06 00:00:00,5,13,"BROWN","LT","D-G5","4",41,21,NA,NA
"52","Kalivas_Italy","02","73744_2","73734_2","IT052","74127_4","F","933000320046666",2019-03-26,2019-04-16,2019-05-06 00:00:00,1,11,"BLACK","RM","D-G5","4",41,21,NA,NA
"53","Kalivas_Italy","02","73704_2","73699_1","IT053","74125_3","M","933000320046454",2019-03-27,2019-04-17,2019-05-06 00:00:00,1,13,"BLACK","LT","D-F4","1",40,21,NA,NA
"54","Kalivas_Italy","02","73187_2","73379_2","IT054","74139_1","M","933000320046474",2019-03-28,2019-04-18,2019-05-06 00:00:00,5,8,"ALBINO","RM","D-F4","1",39,21,NA,NA
"55","Kalivas_Italy","02","73704_2","73699_1","IT055","74125_4","F","933000320046458",2019-03-27,2019-04-17,2019-05-06 00:00:00,1,13,"BLACK","LB","D-G6","4",40,21,NA,NA
"56","Kalivas_Italy","02","73187_2","73379_2","IT056","74139_2","F","933000320046471",2019-03-28,2019-04-18,2019-05-06 00:00:00,5,8,"ALBINO","RM","D-G6","4",39,21,NA,NA
"57","Kalivas_Italy","02","73435_1","73283_1","IT057","74129_1","M","933000320046460",2019-03-28,2019-04-18,2019-05-06 00:00:00,5,11,"ALBINO","LT","D-F5","2",39,21,NA,NA
"58","Kalivas_Italy","02","73437_1","73378_2","IT058","74132_1","M","933000320046464",2019-03-28,2019-04-18,2019-05-06 00:00:00,4,7,"BLACK HOOD","RM","D-F5","2",39,21,NA,NA
"59","Kalivas_Italy","02","73435_1","73283_1","IT059","74129_2","F","933000320046475",2019-03-28,2019-04-18,2019-05-06 00:00:00,5,11,"BLACK HOOD","RM","D-G7","5",39,21,NA,NA
"60","Kalivas_Italy","02","73437_1","73378_2","IT060","74132_2","F","933000320046946",2019-03-28,2019-04-18,2019-05-06 00:00:00,4,7,"BLACK","LM","D-G7","5",39,21,NA,NA
"61","Kalivas_Italy","02","73382_2","73229_1","IT061","74131_1","M","933000320046947",2019-03-29,2019-04-18,2019-05-06 00:00:00,5,11,"BROWN HOOD","LM","D-F6","2",38,20,NA,NA
"62","Kalivas_Italy","02","73511_1","73512_1","IT062","74137_1","M","933000320046934",2019-03-28,2019-04-18,2019-05-06 00:00:00,4,3,"ALBINO","RT","D-F6","2",39,21,NA,NA
"63","Kalivas_Italy","02","73382_2","73229_1","IT063","74131_2","F","933000320046928",2019-03-28,2019-04-18,2019-05-06 00:00:00,5,11,"BROWN HOOD","LT","D-G8","5",39,21,NA,NA
"64","Kalivas_Italy","02","73511_1","73512_1","IT064","74137_2","F","933000320046937",2019-03-29,2019-04-18,2019-05-06 00:00:00,4,3,"ALBINO","RB","D-G8","5",38,20,NA,NA
"65","Kalivas_Italy","02","73666_2","73719_1","IT065","74140_3","M","933000320046932",2019-03-30,2019-04-22,2019-05-06 00:00:00,1,12,"ALBINO","LM","D-F7","2",37,23,NA,NA
"66","Kalivas_Italy","02","73436_1","73170_1","IT066","74151_1","M","933000320046927",2019-03-31,2019-04-21,2019-05-06 00:00:00,5,15,"BROWN","RT","D-F7","2",36,21,NA,NA
"67","Kalivas_Italy","02","73666_2","73719_1","IT067","74140_4","F","933000320046939",2019-03-30,2019-04-22,2019-05-06 00:00:00,1,12,"ALBINO","LT","D-H1","5",37,23,NA,NA
"68","Kalivas_Italy","02","73436_1","73170_1","IT068","74151_2","F","933000320046931",2019-03-31,2019-04-21,2019-05-06 00:00:00,5,15,"BROWN HOOD","RM","D-H1","5",36,21,NA,NA
"69","Kalivas_Italy","02","73195_2","73187_1","IT069","74149_1","M","933000320046940",2019-03-31,2019-04-21,2019-05-06 00:00:00,5,8,"ALBINO","LB","D-F8","2",36,21,NA,NA
"70","Kalivas_Italy","02","73400_1","73410_2","IT070","74154_1","M","933000320046703",2019-04-01,2019-04-22,2019-05-06 00:00:00,5,15,"BLACK HOOD","RT","D-F8","2",35,21,NA,NA
"71","Kalivas_Italy","02","73195_2","73187_1","IT071","74149_2","F","933000320046708",2019-03-31,2019-04-21,2019-05-06 00:00:00,5,8,"ALBINO","LM","D-H2","5",36,21,NA,NA
"72","Kalivas_Italy","02","73400_1","73410_2","IT072","74154_2","F","933000320046956",2019-04-01,2019-04-22,2019-05-06 00:00:00,5,15,"BROWN HOOD","RT","D-H2","5",35,21,NA,NA
"73","Kalivas_Italy","02","73691_2","73723_1","IT073","74142_3","M","933000320046704",2019-03-31,2019-04-21,2019-05-06 00:00:00,1,13,"ALBINO","LC","D-G1","3",36,21,NA,NA
"74","Kalivas_Italy","02","73546_1","73556_1","IT074","74157_1","M","933000320046953",2019-04-02,2019-04-23,2019-05-06 00:00:00,4,10,"BROWN HOOD","RT","D-G1","3",34,21,NA,NA
"75","Kalivas_Italy","02","73691_2","73723_1","IT075","74142_4","F","933000320046707",2019-03-31,2019-04-21,2019-05-06 00:00:00,1,13,"ALBINO","LB","D-H3","6",36,21,NA,NA
"76","Kalivas_Italy","02","73546_1","73556_1","IT076","74157_2","F","933000320046719",2019-04-02,2019-04-23,2019-05-06 00:00:00,4,10,"BLACK HOOD","RC","D-H3","6",34,21,NA,NA
"77","Kalivas_Italy","02","73154_2","73437_2","IT077","74160_1","M","933000320046724",2019-04-03,2019-04-24,2019-05-06 00:00:00,5,10,"ALBINO","RB","D-G2","3",33,21,NA,NA
"78","Kalivas_Italy","02","73182_2","73155_1","IT078","74158_1","M","933000320046964",2019-04-03,2019-04-24,2019-05-06 00:00:00,5,14,"BROWN","LC","D-G2","3",33,21,NA,NA
"79","Kalivas_Italy","02","73154_2","73437_2","IT079","74160_2","F","933000320046968",2019-04-03,2019-04-24,2019-05-06 00:00:00,5,10,"BLACK","LC","D-H4","6",33,21,NA,NA
"80","Kalivas_Italy","02","73182_2","73155_1","IT080","74158_2","F","933000320046969",2019-04-03,2019-04-24,2019-05-06 00:00:00,5,14,"BROWN HOOD","RT","D-H4","6",33,21,NA,NA
"81","Kalivas_Italy","03","73672_2","73697_1","IT081","74478_1","M","933000320046853",2019-06-24,2019-07-15,2019-08-19 00:00:00,4,13,"BROWN HOOD","LT","D-F1","1",56,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"82","Kalivas_Italy","03","73728_2","73782_1","IT082","74481_1","M","933000320047068",2019-06-24,2019-07-15,2019-08-19 00:00:00,4,12,"BLACK HOOD","RM","D-F1","1",56,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"83","Kalivas_Italy","03","73672_2","73666_1","IT085","74483_1","M","933000320047053",2019-06-26,2019-07-17,2019-08-19 00:00:00,4,10,"ALBINO","LT","D-F2","1",54,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"84","Kalivas_Italy","03","73728_2","73688_1","IT086","74485_1","M","933000320047056",2019-06-26,2019-07-17,2019-08-19 00:00:00,4,2,"BROWN","RT","D-F2","1",54,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"85","Kalivas_Italy","03","73743_2","73736_1","IT089","74486_1","M","933000320047071",2019-06-26,2019-07-17,2019-08-19 00:00:00,4,11,"BROWN HOOD","LM","D-F3","1",54,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"86","Kalivas_Italy","03","73674_2","73691_1","IT090","74484_1","M","933000320047061",2019-06-26,2019-07-17,2019-08-19 00:00:00,3,14,"ALBINO","RT","D-F3","1",54,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"87","Kalivas_Italy","03","73770_2","73720_1","IT093","74487_1","M","933000320047060",2019-06-27,2019-07-18,2019-08-19 00:00:00,4,8,"BLACK","LT","D-F4","2",53,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"88","Kalivas_Italy","03","73743_2","73742_1","IT094","74491_1","M","933000320047220",2019-06-29,2019-07-19,2019-08-19 00:00:00,4,9,"BROWN","RM","D-F4","2",51,20,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"89","Kalivas_Italy","03","73687_2","74135_1","IT097","74502_3","M","933000320047221",2019-06-29,2019-07-19,2019-08-19 00:00:00,1,9,"BROWN","LT","D-F5","2",51,20,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"90","Kalivas_Italy","03","73767_2","73726_1","IT098","74493_1","M","933000320047209",2019-06-28,2019-07-19,2019-08-19 00:00:00,4,4,"BLACK","RM","D-F5","2",52,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"91","Kalivas_Italy","03","73687_2","73875_1","IT101","74490_1","M","933000320047210",2019-06-30,2019-07-22,2019-08-19 00:00:00,4,14,"ALBINO","LM","D-F6","2",50,22,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"92","Kalivas_Italy","03","73767_2","73740_1","IT102","74495_1","M","933000320047208",2019-06-30,2019-07-22,2019-08-19 00:00:00,4,10,"BLACK HOOD","RB","D-F6","2",50,22,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"93","Kalivas_Italy","03","73688_2","73858_1","IT105","74496_1","M","933000320047206",2019-06-30,2019-07-22,2019-08-19 00:00:00,4,8,"BROWN HOOD","RM","D-F7","3",50,22,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"94","Kalivas_Italy","03","73671_2","73784_1","IT106","74501_1","M","933000320047222",2019-07-01,2019-07-22,2019-08-19 00:00:00,4,9,"BLACK HOOD","LT","D-F7","3",49,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"95","Kalivas_Italy","03","73688_2","73728_1","IT109","74499_1","M","933000320047190",2019-07-01,2019-07-22,2019-08-19 00:00:00,4,9,"BLACK","LM","D-F8","3",49,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"96","Kalivas_Italy","03","73671_2","74155_1","IT110","74512_3","M","933000320047179",2019-07-02,2019-07-23,2019-08-19 00:00:00,1,13,"BROWN HOOD","RT","D-F8","3",48,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"97","Kalivas_Italy","03","73783_2","73878_1","IT113","74516_1","M","933000320047032",2019-07-03,2019-07-24,2019-08-19 00:00:00,4,11,"BLACK","RB","D-G1","4",47,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"98","Kalivas_Italy","03","73768_2","73675_1","IT114","74515_1","M","933000320047034",2019-07-03,2019-07-24,2019-08-19 00:00:00,4,10,"BLACK HOOD","LM","D-G1","4",47,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"99","Kalivas_Italy","03","73718_2","73745_1","IT117","74514_1","M","933000320047035",2019-07-03,2019-07-24,2019-08-19 00:00:00,5,10,"BLACK HOOD","LB","D-G2","4",47,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"100","Kalivas_Italy","03","73737_2","73874_1","IT118","74517_1","M","933000320047199",2019-07-03,2019-07-24,2019-08-19 00:00:00,4,14,"BLACK HOOD","LTRT","D-G2","4",47,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"101","Kalivas_Italy","03","74112_2","73697_1","IT083","74478_2","F","933000320047051",2019-06-24,2019-07-15,2019-08-19 00:00:00,4,13,"BROWN","RM","D-H5","5",56,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"102","Kalivas_Italy","03","73720_2","73782_1","IT084","74481_2","F","933000320047065",2019-06-24,2019-07-15,2019-08-19 00:00:00,4,12,"BLACK","LT","D-H5","5",56,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"103","Kalivas_Italy","03","74112_2","73669_1","IT087","74494_1","F","933000320047064",2019-06-25,2019-07-16,2019-08-19 00:00:00,4,3,"BLACK HOOD","LT","D-H6","5",55,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"104","Kalivas_Italy","03","73720_2","73666_1","IT088","74483_2","F","933000320047073",2019-06-26,2019-07-17,2019-08-19 00:00:00,4,10,"ALBINO","RM","D-H6","5",54,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"105","Kalivas_Italy","03","73726_2","73736_1","IT091","74486_2","F","933000320047054",2019-06-26,2019-07-17,2019-08-19 00:00:00,4,11,"BLACK HOOD","RT","D-H7","5",54,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"106","Kalivas_Italy","03","73747_2","73691_1","IT092","74484_2","F","933000320047062",2019-06-26,2019-07-17,2019-08-19 00:00:00,3,14,"BROWN HOOD","LM","D-H7","5",54,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"107","Kalivas_Italy","03","73726_2","73720_1","IT095","74487_2","F","933000320047212",2019-06-27,2019-07-18,2019-08-19 00:00:00,4,8,"BLACK","LM","D-H8","6",53,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"108","Kalivas_Italy","03","73747_2","73742_1","IT096","74491_2","F","933000320047205",2019-06-29,2019-07-19,2019-08-19 00:00:00,4,9,"BROWN","RT","D-H8","6",51,20,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"109","Kalivas_Italy","03","73875_2","74135_1","IT099","74502_4","F","933000320047219",2019-06-29,2019-07-19,2019-08-19 00:00:00,1,9,"BROWN HOOD","LB","D-I1","6",51,20,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"110","Kalivas_Italy","03","73676_2","73726_1","IT100","74493_2","F","933000320047223",2019-06-28,2019-07-19,2019-08-19 00:00:00,4,4,"BLACK","RT","D-I1","6",52,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"111","Kalivas_Italy","03","73875_2","73875_1","IT103","74490_2","F","933000320047201",2019-06-30,2019-07-22,2019-08-19 00:00:00,4,14,"BLACK","RM","D-I2","6",50,22,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"112","Kalivas_Italy","03","73676_2","73740_1","IT104","74495_2","F","933000320047216",2019-06-30,2019-07-22,2019-08-19 00:00:00,4,10,"BROWN HOOD","LT","D-I2","6",50,22,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"113","Kalivas_Italy","03","73692_2","73858_1","IT107","74496_2","F","933000320047211",2019-06-30,2019-07-22,2019-08-19 00:00:00,4,8,"BROWN HOOD","RT","D-I3","7",50,22,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"114","Kalivas_Italy","03","74145_2","73784_1","IT108","74501_2","F","933000320047207",2019-07-01,2019-07-22,2019-08-19 00:00:00,4,9,"BLACK","LB","D-I3","7",49,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"115","Kalivas_Italy","03","73692_2","73728_1","IT111","74499_2","F","933000320047180",2019-07-01,2019-07-22,2019-08-19 00:00:00,4,9,"BLACK HOOD","LM","D-I4","7",49,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"116","Kalivas_Italy","03","74145_2","74155_1","IT112","74512_4","F","933000320047186",2019-07-02,2019-07-23,2019-08-19 00:00:00,1,13,"BROWN HOOD","RB","D-I4","7",48,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
"117","Kalivas_Italy","03","73783_2","73878_1","IT115","74516_2","F","933000320047041",2019-07-03,2019-07-24,2019-08-19 00:00:00,4,11,"BROWN HOOD","RM","D-I5","8",47,21,"Original shipment 2019-08-05 (held 2 weeks due to heat)",NA
